Date,Location,Cases,Area
2019-12-10,Αιτωλοακαρνανία,2,Στερεά Ελλάδα
2019-12-10,Αρκαδία,3,Πελοπόννησος
2019-12-10,Αττική,676,Στερεά Ελλάδα
2019-12-10,Αχαΐα,3,Πελοπόννησος
2019-12-10,Βοιωτία,1,Στερεά Ελλάδα
2019-12-10,Καρδίτσα,1,Θεσσαλία
2019-12-10,Ηλεία,3,Πελοπόννησος
2019-12-10,Ημαθία,5,Μακεδονία
2019-12-10,Ηράκλειο,3,Κρήτη
2019-12-10,Θεσσαλονίκη,30,Μακεδονία
2019-12-10,Δωδεκάνησα,1,Αιγαίο Πέλαγος
2019-12-11,Αττική,364,Στερεά Ελλάδα
2019-12-11,Πρέβεζα,17,Ήπειρος
2019-12-12,Αττική,364,Στερεά Ελλάδα
2019-12-13,Αττική,364,Στερεά Ελλάδα
2019-12-14,Αττική,364,Στερεά Ελλάδα
2019-12-14,Πρέβεζα,17,Ήπειρος
2019-12-15,Πρέβεζα,17,Ήπειρος
2019-12-15,Αττική,364,Στερεά Ελλάδα
2019-12-16,Αττική,364,Στερεά Ελλάδα
2019-12-16,Πρέβεζα,17,Ήπειρος
2019-12-17,Αττική,364,Στερεά Ελλάδα
2019-12-17,Πρέβεζα,17,Ήπειρος
2019-12-18,Αττική,364,Στερεά Ελλάδα
2019-12-18,Πρέβεζα,17,Ήπειρος
2019-12-19,Αττική,364,Στερεά Ελλάδα
2019-12-20,Πρέβεζα,17,Ήπειρος
2019-12-20,Αττική,364,Στερεά Ελλάδα
2019-12-21,Αττική,364,Στερεά Ελλάδα
2019-12-22,Πρέβεζα,17,Ήπειρος
2019-12-22,Αττική,364,Στερεά Ελλάδα
2019-12-23,Αττική,364,Στερεά Ελλάδα
2019-12-23,Πρέβεζα,17,Ήπειρος
2019-12-24,Αττική,364,Στερεά Ελλάδα
2019-12-24,Πρέβεζα,17,Ήπειρος
2019-12-25,Αττική,271,Στερεά Ελλάδα
2019-12-25,Πρέβεζα,17,Ήπειρος
2019-12-26,Αττική,364,Στερεά Ελλάδα
2019-12-26,Πρέβεζα,17,Ήπειρος
2019-12-27,Αττική,364,Στερεά Ελλάδα
2019-12-28,Πρέβεζα,17,Ήπειρος
2019-12-29,Πρέβεζα,17,Ήπειρος
2019-12-29,Αττική,364,Στερεά Ελλάδα
2019-12-30,Αττική,364,Στερεά Ελλάδα
2019-12-30,Πρέβεζα,17,Ήπειρος
2019-12-31,Άγιος Νικόλαος,9,Κρήτη
2019-12-31,Αττική,364,Στερεά Ελλάδα
2019-12-31,Λάρισα,9,Θεσσαλία
2019-12-31,Πρέβεζα,17,Ήπειρος
2020-01-01,Αττική,364,Στερεά Ελλάδα
2020-01-02,Αττική,364,Στερεά Ελλάδα
2020-01-03,Αττική,364,Στερεά Ελλάδα
2020-01-03,Πρέβεζα,17,Ήπειρος
2020-01-04,Πρέβεζα,17,Ήπειρος
2020-01-04,Αττική,364,Στερεά Ελλάδα
2020-01-05,Πρέβεζα,17,Ήπειρος
2020-01-05,Αττική,364,Στερεά Ελλάδα
2020-01-06,Αττική,364,Στερεά Ελλάδα
2020-01-06,Πρέβεζα,17,Ήπειρος
2020-01-07,Αττική,364,Στερεά Ελλάδα
2020-01-07,Πρέβεζα,17,Ήπειρος
